proposal,skill,mapper_payload
v0_025_dst_daad_joint_call_2017_recommended_projects,civil engineering,"[['C.0'], ['GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology'], ['general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology']]"
v0_025_dst_daad_joint_call_2017_recommended_projects,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_025_dst_daad_joint_call_2017_recommended_projects,lab,"[['I.2.1', 'J.1'], ['Applications and Expert Systems (H.4, J)', 'Cartography', 'Games', 'Industrial automation', 'Law', 'Medicine and science', 'Natural language interfaces', 'Office automation', 'ADMINISTRATIVE DATA PROCESSING', 'Business', 'Education', 'Financial (e.g., EFTS)', 'Government', 'Law', 'Manufacturing', 'Marketing', 'Military'], ['application expert system', 'cartography', 'game', 'industrial automation', 'law', 'medicine science', 'natural language interface', 'office automation', 'administrative data processing', 'business', 'education', 'financial eg eft', 'government', 'law', 'manufacturing', 'marketing', 'military']]"
v0_025_dst_daad_joint_call_2017_recommended_projects,rural,"[['I.2.3'], ['Deduction and Theorem Proving (F.4.1)', 'Answer/reason extraction', 'Deduction (e.g., natural, rule-based)', 'Inference engines (NEW)', 'Logic programming', 'Mathematical induction', 'Metatheory**', 'Nonmonotonic reasoning and belief revision', 'Resolution', ""Uncertainty, ``fuzzy,'' and probabilistic reasoning""], ['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']]"
v0_026_3rd_information__networking_event_eu_india_call_on_water,building,"[['B.5.3', 'B.4.5', 'B.6.2', 'B.7.3'], ['Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', 'Built-in tests**', 'Diagnostics**', 'Error-checking**', 'Hardware reliability**', 'Redundant design**', 'Test generation**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**'], ['reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability']]"
v0_026_3rd_information__networking_event_eu_india_call_on_water,event,"[['I.1.3'], ['Languages and Systems (D.3.2-3, F.2.2)', 'Evaluation strategies', 'Nonprocedural languages**', 'Special-purpose algebraic systems', 'Special-purpose hardware**', 'Substitution mechanisms**'], ['language system', 'evaluation strategy', 'nonprocedural language', 'specialpurpose algebraic system', 'specialpurpose hardware', 'substitution mechanism']]"
v0_026_3rd_information__networking_event_eu_india_call_on_water,lab,"[['I.2.1', 'J.1'], ['Applications and Expert Systems (H.4, J)', 'Cartography', 'Games', 'Industrial automation', 'Law', 'Medicine and science', 'Natural language interfaces', 'Office automation', 'ADMINISTRATIVE DATA PROCESSING', 'Business', 'Education', 'Financial (e.g., EFTS)', 'Government', 'Law', 'Manufacturing', 'Marketing', 'Military'], ['application expert system', 'cartography', 'game', 'industrial automation', 'law', 'medicine science', 'natural language interface', 'office automation', 'administrative data processing', 'business', 'education', 'financial eg eft', 'government', 'law', 'manufacturing', 'marketing', 'military']]"
v0_026_3rd_information__networking_event_eu_india_call_on_water,target,"[['H.5.1'], ['Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities (REVISED)', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps**', 'Video (e.g., tape, disk, DVI)'], ['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']]"
v0_027_4th_information__networking_event_eu_india_call_on_water,building,"[['B.5.3', 'B.4.5', 'B.6.2', 'B.7.3'], ['Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', 'Built-in tests**', 'Diagnostics**', 'Error-checking**', 'Hardware reliability**', 'Redundant design**', 'Test generation**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**'], ['reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability']]"
v0_027_4th_information__networking_event_eu_india_call_on_water,event,"[['I.1.3'], ['Languages and Systems (D.3.2-3, F.2.2)', 'Evaluation strategies', 'Nonprocedural languages**', 'Special-purpose algebraic systems', 'Special-purpose hardware**', 'Substitution mechanisms**'], ['language system', 'evaluation strategy', 'nonprocedural language', 'specialpurpose algebraic system', 'specialpurpose hardware', 'substitution mechanism']]"
v0_027_4th_information__networking_event_eu_india_call_on_water,lab,"[['I.2.1', 'J.1'], ['Applications and Expert Systems (H.4, J)', 'Cartography', 'Games', 'Industrial automation', 'Law', 'Medicine and science', 'Natural language interfaces', 'Office automation', 'ADMINISTRATIVE DATA PROCESSING', 'Business', 'Education', 'Financial (e.g., EFTS)', 'Government', 'Law', 'Manufacturing', 'Marketing', 'Military'], ['application expert system', 'cartography', 'game', 'industrial automation', 'law', 'medicine science', 'natural language interface', 'office automation', 'administrative data processing', 'business', 'education', 'financial eg eft', 'government', 'law', 'manufacturing', 'marketing', 'military']]"
v0_027_4th_information__networking_event_eu_india_call_on_water,target,"[['H.5.1'], ['Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities (REVISED)', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps**', 'Video (e.g., tape, disk, DVI)'], ['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']]"
v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,alternative,"[['F.1.2'], ['Modes of Computation', 'Alternation and nondeterminism', 'Interactive and reactive computation (REVISED)', 'Online computation', 'Parallelism and concurrency', 'Probabilistic computation', 'Relations among modes**', 'Relativized computation'], ['mode computation', 'alternation nondeterminism', 'interactive reactive computation revised', 'online computation', 'parallelism concurrency', 'probabilistic computation', 'relation among mode', 'relativized computation']]"
v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,cost effectiveness,"[['D.2.9'], ['Management (K.6.3, K.6.4)', 'Copyrights**', 'Cost estimation', 'Life cycle', 'Productivity', 'Programming teams', 'Software configuration management', 'Software process models (e.g., CMM, ISO, PSP) (NEW)', 'Software quality assurance (SQA)', 'Time estimation'], ['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']]"
v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,model,"[['I.5.1'], ['Models', 'Deterministic**', 'Fuzzy set', 'Geometric', 'Neural nets', 'Statistical', 'Structural'], ['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural']]"
v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,disaster,"[['H.5.1'], ['Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities (REVISED)', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps**', 'Video (e.g., tape, disk, DVI)'], ['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']]"
v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,efficiency,"[['H.3.4'], ['Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)**', 'Distributed systems (NEW)', 'Information networks', 'Performance evaluation (efficiency and effectiveness) (NEW)', 'Question-answering (fact retrieval) systems**', 'User profiles and alert services (NEW)'], ['system software', 'current awareness system selective dissemination informationsdi', 'distributed system new', 'information network', 'performance evaluation efficiency effectiveness new', 'questionanswering fact retrieval system', 'user profile alert service new']]"
v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_030_call_for_concept_note_in_waste_management_technologies,agricultural,"[['C.2.1', 'C.2.5'], ['Network Architecture and Design', 'Asynchronous Transfer Mode (ATM) (NEW)', 'Centralized networks**', 'Circuit-switching networks', 'Distributed networks', 'Frame relay networks (NEW)', 'ISDN (Integrated Services Digital Network)', 'Network communications', 'Network topology', 'Packet-switching networks (REVISED)', 'Store and forward networks', 'Wireless communication (NEW)', 'Local and Wide-Area Networks (REVISED)', 'Access schemes', 'Buses'], ['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new', 'local widearea network revised', 'access scheme', 'bus']]"
v0_030_call_for_concept_note_in_waste_management_technologies,alternative,"[['F.1.2'], ['Modes of Computation', 'Alternation and nondeterminism', 'Interactive and reactive computation (REVISED)', 'Online computation', 'Parallelism and concurrency', 'Probabilistic computation', 'Relations among modes**', 'Relativized computation'], ['mode computation', 'alternation nondeterminism', 'interactive reactive computation revised', 'online computation', 'parallelism concurrency', 'probabilistic computation', 'relation among mode', 'relativized computation']]"
v0_030_call_for_concept_note_in_waste_management_technologies,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_030_call_for_concept_note_in_waste_management_technologies,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_030_call_for_concept_note_in_waste_management_technologies,rural,"[['I.2.3'], ['Deduction and Theorem Proving (F.4.1)', 'Answer/reason extraction', 'Deduction (e.g., natural, rule-based)', 'Inference engines (NEW)', 'Logic programming', 'Mathematical induction', 'Metatheory**', 'Nonmonotonic reasoning and belief revision', 'Resolution', ""Uncertainty, ``fuzzy,'' and probabilistic reasoning""], ['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']]"
v0_030_call_for_concept_note_in_waste_management_technologies,urban,"[['H.5.2'], ['User Interfaces (D.2.2, H.1.2, I.3.6)', 'Auditory (non-speech) feedback (NEW)', 'Benchmarking (NEW)', 'Ergonomics', 'Evaluation/methodology', 'Graphical user interfaces (GUI) (NEW)', 'Haptic I/O (NEW)', 'Input devices and strategies (e.g., mouse, touchscreen)', 'Interaction styles (e.g., commands, menus, forms, direct manipulation)', 'Natural language (NEW)', 'Prototyping (NEW)', 'Screen design (e.g., text, graphics, color)', 'Standardization (NEW)', 'Style guides (NEW)', 'Theory and methods', 'Training, help, and documentation', 'User-centered design (NEW)', 'User interface management systems (UIMS)', 'Voice I/O (NEW)', 'Windowing systems'], ['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']]"
v0_030_call_for_concept_note_in_waste_management_technologies,waste,"[['G.1.2'], ['Approximation', 'Approximation of surfaces and contours (NEW)', 'Chebyshev approximation and theory', 'Elementary function approximation', 'Fast Fourier transforms (FFT) (NEW)', 'Least squares approximation', 'Linear approximation', 'Minimax approximation and algorithms', 'Nonlinear approximation', 'Rational approximation', 'Special function approximations (NEW)', 'Spline and piecewise polynomial approximation', 'Wavelets and fractals (NEW)'], ['approximation', 'approximation surface contour new', 'chebyshev approximation theory', 'elementary function approximation', 'fast fourier transforms fft new', 'least square approximation', 'linear approximation', 'minimax approximation algorithm', 'nonlinear approximation', 'rational approximation', 'special function approximation new', 'spline piecewise polynomial approximation', 'wavelet fractal new']]"
v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,master,"[['B.3.2'], ['Design Styles (D.4.2)', 'Associative memories', 'Cache memories', 'Interleaved memories**', 'Mass storage (e.g., magnetic, optical, RAID) (REVISED)', 'Primary memory', 'Sequential-access memory**', 'Shared memory', 'Virtual memory'], ['design style', 'associative memory', 'cache memory', 'interleaved memory', 'mass storage eg magnetic optical raid revised', 'primary memory', 'sequentialaccess memory', 'shared memory', 'virtual memory']]"
v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,mhrd,"[['H.4.2'], ['Types of Systems', 'Decision support (e.g., MIS)', 'Logistics'], ['type system', 'decision support eg mi', 'logistics']]"
v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,site,"[['C.1.2'], ['Multiple Data Stream Architectures (Multiprocessors)', 'Array and vector processors', 'Associative processors', 'Connection machines', 'Interconnection architectures (e.g., common bus, multiport memory, crossbar switch)', 'Multiple-instruction-stream, multiple-data-stream processors (MIMD)', 'Parallel processors**', 'Pipeline processors**', 'Single-instruction-stream, multiple-data-stream processors (SIMD)'], ['multiple data stream architecture multiprocessor', 'array vector processor', 'associative processor', 'connection machine', 'interconnection architecture eg common bus multiport memory crossbar switch', 'multipleinstructionstream multipledatastream processor mimd', 'parallel processor', 'pipeline processor', 'singleinstructionstream multipledatastream processor simd']]"
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,building,"[['B.5.3', 'B.4.5', 'B.6.2', 'B.7.3'], ['Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', 'Built-in tests**', 'Diagnostics**', 'Error-checking**', 'Hardware reliability**', 'Redundant design**', 'Test generation**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**', 'Reliability and Testing** (B.8)', 'Built-in tests**', 'Error-checking**', 'Redundant design**', 'Test generation**', 'Testability**'], ['reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability', 'reliability testing', 'builtin test', 'errorchecking', 'redundant design', 'test generation', 'testability']]"
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,low cost,"[['D.4.9'], ['Systems Programs and Utilities', 'Command and control languages', 'Linkers**', 'Loaders**', 'Window managers'], ['system program utility', 'command control language', 'linkers', 'loader', 'window manager']]"
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_033_call_for_proposals___2018_under_india___iran_bilateral_st_cooperation,general,"[['C.5.0', 'B.7.0', 'I.1.0', 'D.4.0', 'F.0', 'K.8.0', 'C.2.0', 'D.2.0', 'I.5.0', 'F.1.0', 'A.0', 'D.0', 'I.4.0', 'C.0', 'H.4.0', 'B.6.0', 'G.1.0', 'K.6.0', 'B.2.0', 'I.2.0', 'B.4.0', 'D.1.0', 'B.1.0', 'K.5.0', 'K.7.0', 'B.3.0', 'I.0', 'F.2.0', 'C.1.0', 'K.0', 'I.6.0', 'H.2.0', 'F.3.0', 'K.4.0', 'I.3.0', 'G.2.0', 'B.5.0', 'H.5.0', 'F.4.0', 'I.7.0', 'G.0', 'J.0', 'H.3.0', 'B.0', 'E.0', 'H.0', 'H.1.0', 'D.3.0', 'K.3.0'], ['General', 'General', 'General', 'General', 'GENERAL', 'General', 'Games', 'General', 'Data communications', 'Open Systems Interconnection reference model (OSI)', 'Security and protection (e.g., firewalls) (REVISED)', 'General (K.5.1)', 'Protection mechanisms', 'Standards', 'General', 'General', 'GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)', 'GENERAL', 'General', 'Image displays', 'Image processing software', 'GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology', 'General', 'General', 'General', 'Computer arithmetic', 'Conditioning (and ill-conditioning) (REVISED)', 'Error analysis', 'Interval arithmetic (NEW)', 'Multiple precision arithmetic (NEW)', 'Numerical algorithms', 'Parallel algorithms', 'Stability (and instability)', 'General', 'Economics', 'General', 'General', 'Cognitive simulation', 'Philosophical foundations', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General', 'General', 'Security, integrity, and protection**', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'GENERAL', 'General', 'GENERAL', 'GENERAL', 'GENERAL', 'General', 'General', 'Standards', 'General'], ['general', 'general', 'general', 'general', 'general', 'general', 'game', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'image display', 'image processing software', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'economics', 'general', 'general', 'cognitive simulation', 'philosophical foundation', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general']]"
v0_034_call_for_proposal_for_device_development_programme___2017,disaster,"[['H.5.1'], ['Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities (REVISED)', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps**', 'Video (e.g., tape, disk, DVI)'], ['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']]"
v0_034_call_for_proposal_for_device_development_programme___2017,disaster management,"[['H.5.1'], ['Multimedia Information Systems', 'Animations', 'Artificial, augmented, and virtual realities (REVISED)', 'Audio input/output', 'Evaluation/methodology', 'Hypertext navigation and maps**', 'Video (e.g., tape, disk, DVI)'], ['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']]"
v0_034_call_for_proposal_for_device_development_programme___2017,instrument,"[['C.0'], ['GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology'], ['general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology']]"
v0_034_call_for_proposal_for_device_development_programme___2017,low cost,"[['D.4.9'], ['Systems Programs and Utilities', 'Command and control languages', 'Linkers**', 'Loaders**', 'Window managers'], ['system program utility', 'command control language', 'linkers', 'loader', 'window manager']]"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,computer,"[['I.5.4'], ['Applications', 'Computer vision', 'Signal processing', 'Text processing', 'Waveform analysis'], ['application', 'computer vision', 'signal processing', 'text processing', 'waveform analysis']]"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,decade,"[['D.2.2'], ['Design Tools and Techniques (REVISED)', 'Computer-aided software engineering (CASE)', 'Decision tables', 'Evolutionary prototyping (NEW)', 'Flow charts', 'Modules and interfaces', 'Object-oriented design methods (NEW)', 'Petri nets', 'Programmer workbench**', 'Software libraries', 'State diagrams (NEW)', 'Structured programming**', 'Top-down programming**', 'User interfaces'], ['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']]"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,investigation,"[['G.1.8'], ['Partial Differential Equations', 'Domain decomposition methods (NEW)', 'Elliptic equations', 'Finite difference methods (REVISED)', 'Finite element methods', 'Finite volume methods (NEW)', 'Hyperbolic equations', 'Inverse problems (NEW)', 'Iterative solution techniques (NEW)', 'Method of lines', 'Multigrid and multilevel methods (NEW)', 'Parabolic equations', 'Spectral methods (NEW)'], ['partial differential equation', 'domain decomposition method new', 'elliptic equation', 'finite difference method revised', 'finite element method', 'finite volume method new', 'hyperbolic equation', 'inverse problem new', 'iterative solution technique new', 'method line', 'multigrid multilevel method new', 'parabolic equation', 'spectral method new']]"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,significance,"[['H.5.5'], ['Sound and Music Computing (J.5) (NEW)', 'Methodologies and techniques (NEW)', 'Modeling (NEW)', 'Signal analysis, synthesis, and processing (NEW)', 'Systems (NEW)'], ['sound music computing new', 'methodology technique new', 'modeling new', 'signal analysis synthesis processing new', 'system new']]"
